CustomerId,rfm_total,rfm_segment,Exited
15593736,9,Others,1
15704442,3,Inactive,1
15689953,8,At Risk,0
15613180,5,At Risk,0
15613463,3,Inactive,0
15782736,8,At Risk,1
15610454,5,At Risk,0
15716164,8,Potential Loyalist,0
15636872,8,Others,0
15695819,7,Potential Loyalist,0
15691823,6,At Risk,0
15782550,10,Others,0
15647570,9,Others,0
15759684,5,At Risk,0
15767722,9,Others,0
15724099,5,At Risk,0
15766374,4,Inactive,0
15720110,8,Others,0
15662494,5,At Risk,0
15738828,10,Others,0
15639278,3,Inactive,1
15647898,6,Potential Loyalist,1
15614302,4,Inactive,0
15628767,5,Others,1
15775662,8,Others,0
15675854,10,Others,1
15578045,8,At Risk,1
15587066,11,Others,1
15644962,7,At Risk,0
15711571,10,Others,0
15803750,9,Others,1
15755638,6,At Risk,1
15772412,5,At Risk,1
15663770,9,Others,0
15761763,8,Others,0
15634501,10,Others,0
15702095,9,Others,1
15771409,8,Others,1
15737310,6,At Risk,0
15801218,7,At Risk,1
15706185,4,Inactive,0
15705298,11,Others,0
15605134,8,Potential Loyalist,0
15750811,11,Others,0
15665376,8,Potential Loyalist,0
15616550,4,Inactive,0
15684171,6,At Risk,0
15788536,9,Others,0
15666559,3,Inactive,0
15583138,8,Potential Loyalist,0
15615430,6,At Risk,1
15665064,5,Others,0
15793116,9,Others,0
15668818,8,Others,0
15663888,7,Potential Loyalist,0
15703413,9,Others,0
15639357,4,Inactive,1
15747345,4,Inactive,0
15711457,7,At Risk,0
15737265,10,Others,0
15761692,5,At Risk,0
15755225,4,Inactive,0
15785024,6,At Risk,1
15662243,10,Others,1
15660429,8,Others,1
15657449,8,Potential Loyalist,0
15756680,9,Others,0
15693337,10,Others,0
15596710,10,Others,0
15688074,9,Others,0
15776596,9,Others,1
15701376,3,Inactive,0
15731327,8,Others,0
15648178,8,At Risk,0
15569764,8,Potential Loyalist,0
15684211,7,At Risk,0
15602647,5,At Risk,1
15603851,5,Others,1
15604792,6,At Risk,0
15569274,8,Potential Loyalist,1
15691119,11,Others,0
15635078,10,Others,0
15795540,9,Others,0
15738672,8,Potential Loyalist,0
15693690,9,Others,0
15606310,8,At Risk,0
15705458,6,Others,0
15753092,6,At Risk,1
15667392,3,Inactive,0
15748691,10,Others,0
15605000,3,Inactive,1
15650068,10,Others,0
15690540,11,Others,0
15750808,6,Others,0
15679968,9,Others,0
15657957,8,Others,1
15603170,7,At Risk,1
15729557,9,Others,1
15715541,5,At Risk,0
15774328,7,Potential Loyalist,0
15621768,10,Others,0
15662294,3,Inactive,0
15792726,3,Inactive,0
15721377,11,Others,0
15780835,9,Others,0
15807167,9,Others,0
15811177,8,Potential Loyalist,0
15585379,8,Potential Loyalist,0
15583850,7,Potential Loyalist,0
15680666,8,Potential Loyalist,0
15624781,7,Potential Loyalist,0
15759298,5,At Risk,0
15643903,9,Others,0
15698703,4,Inactive,0
15737832,11,Others,1
15791216,8,Others,1
15743760,4,Inactive,0
15658067,8,Potential Loyalist,1
15632816,9,Others,0
15681446,5,At Risk,0
15592854,9,Others,0
15788151,7,Potential Loyalist,0
15700627,8,Potential Loyalist,1
15666295,8,Potential Loyalist,1
15747807,7,Potential Loyalist,0
15569446,5,Others,0
15581237,9,Others,0
15784918,8,Others,0
15680597,9,Others,0
15723339,4,Inactive,0
15780088,7,At Risk,0
15802106,8,Others,0
15584505,10,Others,0
15674671,6,Others,0
15788723,3,Inactive,1
15612103,9,Others,1
15675176,5,At Risk,0
15740237,11,Others,0
15635870,8,At Risk,1
15569452,8,Others,0
15795298,5,At Risk,0
15715078,4,Inactive,0
15567506,3,Inactive,1
15694765,9,Others,1
15642579,9,Others,0
15666548,7,Potential Loyalist,1
15699335,5,Others,0
15720671,3,Inactive,0
15595831,6,At Risk,0
15575510,9,Others,0
15578809,9,Others,1
15601569,8,Potential Loyalist,1
15616454,7,At Risk,1
15776725,5,At Risk,0
15665963,8,Others,0
15681206,8,Potential Loyalist,1
15640078,10,Others,1
15789201,7,At Risk,0
15650258,9,Others,0
15705739,10,Others,0
15670587,4,Inactive,0
15650442,5,At Risk,1
15737910,7,Potential Loyalist,0
15793856,5,Others,0
15809837,3,Inactive,1
15581551,5,At Risk,0
15656100,10,Others,0
15777922,7,Potential Loyalist,0
15813504,10,Others,0
15709531,8,Potential Loyalist,0
15811026,7,Potential Loyalist,0
15679297,8,Potential Loyalist,0
15679283,7,Potential Loyalist,0
15813132,7,At Risk,0
15628298,8,Others,0
15782641,8,Potential Loyalist,0
15628292,4,Inactive,0
15619626,8,Others,0
15583725,10,Others,0
15799211,5,At Risk,0
15776233,8,Others,1
15661670,8,Others,1
15757829,4,Inactive,0
15750638,10,Others,1
15642468,7,At Risk,0
15741633,5,At Risk,0
15732778,7,Potential Loyalist,0
15778320,10,Others,0
15593280,5,At Risk,0
15578761,4,Inactive,1
15592583,8,Potential Loyalist,1
15651063,4,Inactive,0
15651533,10,Others,1
15600975,11,Others,1
15571221,5,At Risk,1
15773146,8,Others,0
15706706,5,At Risk,0
15649618,5,At Risk,0
15787619,11,Others,0
15674433,11,Others,0
15629094,9,Others,1
15736816,8,Others,0
15602043,10,Others,0
15635776,4,Inactive,0
15616811,10,Others,0
15753639,10,Others,0
15657881,8,At Risk,0
15753955,8,Others,0
15683124,10,Others,1
15775490,7,Potential Loyalist,0
15632118,9,Others,1
15678129,4,Inactive,0
15751131,5,At Risk,0
15710450,5,At Risk,0
15569678,9,Others,0
15781702,5,At Risk,0
15769402,5,At Risk,0
15784687,11,Others,0
15588944,9,Others,1
15654574,7,Potential Loyalist,0
15659364,10,Others,0
15740104,5,At Risk,1
15726855,7,At Risk,1
15600781,7,Potential Loyalist,0
15612966,7,At Risk,1
15665327,8,Potential Loyalist,0
15796313,7,Potential Loyalist,1
15768137,9,Others,1
15587581,4,Inactive,0
15713975,6,At Risk,1
15674442,9,Others,0
15588537,6,At Risk,0
15766289,7,Potential Loyalist,0
15750497,5,At Risk,0
15788442,9,Others,0
15751748,11,Others,1
15655436,8,Others,1
15569438,6,At Risk,0
15585865,8,Potential Loyalist,1
15583076,7,Potential Loyalist,0
15650424,8,Others,1
15670172,8,At Risk,0
15726747,8,At Risk,0
15585734,3,Inactive,0
15576196,9,Others,1
15708917,5,At Risk,0
15691871,5,At Risk,0
15591047,9,Others,1
15776348,11,Others,1
15633108,10,Others,0
15664639,8,At Risk,0
15603741,7,At Risk,0
15595135,8,Others,0
15614878,6,At Risk,0
15583394,3,Inactive,0
15578369,7,At Risk,0
15680234,8,Potential Loyalist,0
15720943,9,Others,1
15748360,3,Inactive,0
15685279,5,At Risk,0
15684011,7,At Risk,0
15712849,11,Others,1
15781989,7,At Risk,0
15775949,5,At Risk,0
15600720,8,Others,0
15619708,7,Potential Loyalist,0
15599403,3,Inactive,0
15591698,6,At Risk,1
15707078,11,Others,0
15656707,8,Others,0
15749951,10,Others,1
15753332,8,Others,1
15612109,3,Inactive,0
15738148,9,Others,1
15789379,9,Others,0
15571571,5,Others,0
15761374,5,At Risk,0
15720687,11,Others,1
15762937,4,Inactive,0
15689201,10,Others,0
15758035,7,At Risk,0
15686835,8,At Risk,1
15678210,4,Inactive,0
15778025,5,At Risk,0
15568360,7,At Risk,0
15765732,5,At Risk,0
15800806,3,Inactive,0
15739972,4,Inactive,1
15706534,11,Others,1
15726791,8,Others,1
15638463,5,At Risk,0
15803337,7,At Risk,0
15756481,8,Potential Loyalist,0
15730397,9,Others,0
15700300,8,At Risk,1
15731669,9,Others,0
15572038,7,At Risk,1
15652048,3,Inactive,0
15567399,8,Others,0
15672437,7,Potential Loyalist,0
15689492,9,Others,0
15769191,3,Inactive,0
15696703,8,Potential Loyalist,0
15668235,8,Others,0
15713637,8,Potential Loyalist,0
15686611,8,At Risk,0
15706537,7,At Risk,0
15648030,7,Potential Loyalist,0
15670889,9,Others,0
15696744,11,Others,0
15605950,7,Potential Loyalist,0
15690678,7,At Risk,0
15742798,8,Others,1
15812720,5,At Risk,0
15774224,7,Potential Loyalist,0
15697424,8,Others,1
15592091,6,Others,0
15629885,8,Others,0
15683483,5,Others,0
15663194,8,Others,1
15687421,7,At Risk,1
15683993,5,Others,0
15655341,10,Others,0
15671917,6,At Risk,0
15668248,9,Others,1
15750731,7,At Risk,1
15598510,4,Inactive,0
15798888,9,Others,0
15704378,5,At Risk,0
15685346,7,At Risk,0
15618703,7,At Risk,1
15574910,9,Others,0
15601594,6,Potential Loyalist,1
15593622,5,At Risk,0
15765643,5,At Risk,0
15706458,4,Inactive,1
15574352,7,At Risk,0
15615140,5,At Risk,0
15649101,8,At Risk,0
15623357,9,Others,0
15743498,7,At Risk,1
15639077,7,Potential Loyalist,1
15618562,9,Others,1
15638149,9,Others,0
15606149,7,At Risk,0
15619674,6,At Risk,0
15697606,8,At Risk,0
15585249,9,Others,1
15615797,6,At Risk,1
15661629,6,At Risk,1
15625151,7,At Risk,0
15771543,8,Others,1
15725639,5,At Risk,0
15579130,9,Others,1
15626787,9,Others,1
15722701,9,Others,0
15688409,9,Others,1
15612524,8,Potential Loyalist,0
15677395,7,At Risk,0
15773071,5,At Risk,0
15784700,5,At Risk,0
15709741,11,Others,0
15679966,8,Others,0
15680685,11,Others,0
15589572,7,Potential Loyalist,1
15694376,8,Potential Loyalist,1
15592765,5,At Risk,0
15815656,5,At Risk,1
15682322,5,At Risk,0
15662100,8,At Risk,0
15748552,11,Others,0
15566633,3,Inactive,0
15756125,7,Potential Loyalist,0
15685920,11,Others,0
15752375,9,Others,0
15593425,11,Others,1
15653762,8,At Risk,0
15685653,8,Potential Loyalist,0
15739168,8,At Risk,0
15677796,8,Others,1
15606273,9,Others,1
15734461,9,Others,0
15624755,8,Potential Loyalist,0
15688619,5,Others,0
15774551,8,Others,0
15747649,7,Potential Loyalist,0
15697441,8,Others,1
15669805,9,Others,0
15772604,8,Potential Loyalist,0
15765902,4,Inactive,0
15735388,6,Others,0
15683841,3,Inactive,0
15723721,11,Others,0
15634359,10,Others,0
15633930,7,Potential Loyalist,1
15599251,6,Others,0
15660101,4,Inactive,0
15680706,11,Others,1
15611682,5,At Risk,0
15585367,10,Others,1
15582492,9,Others,0
15672056,5,Others,1
15690153,7,At Risk,0
15723827,11,Others,0
15620507,6,At Risk,0
15708504,5,At Risk,1
15771873,8,Potential Loyalist,0
15639590,8,Potential Loyalist,0
15724336,10,Others,0
15602797,4,Inactive,1
15727811,11,Others,1
15766288,10,Others,1
15746451,7,At Risk,0
15705515,7,Potential Loyalist,0
15618243,9,Others,0
15699461,7,At Risk,0
15654341,8,Others,0
15664793,5,At Risk,0
15756539,8,Others,0
15731555,8,At Risk,1
15665402,6,At Risk,0
15671172,9,Others,0
15628205,10,Others,0
15700046,8,Potential Loyalist,0
15783019,4,Inactive,1
15724620,9,Others,0
15640161,10,Others,0
15660263,8,Potential Loyalist,0
15611848,9,Others,0
15728012,8,Potential Loyalist,0
15634891,8,Others,1
15716134,4,Inactive,0
15804602,9,Others,0
15757521,9,Others,0
15690337,7,Potential Loyalist,0
15741385,5,At Risk,0
15731890,10,Others,0
15650086,8,Potential Loyalist,0
15638788,5,At Risk,0
15624423,8,Others,0
15663312,4,Inactive,0
15597239,8,Others,0
15696514,9,Others,0
15765537,8,Others,0
15610711,9,Others,0
15616451,6,At Risk,0
15600934,8,Others,1
15725762,8,Potential Loyalist,0
15681316,8,Potential Loyalist,0
15717164,4,Inactive,0
15579345,10,Others,0
15601787,10,Others,1
15581229,10,Others,0
15593900,10,Others,0
15800736,7,At Risk,0
15769272,10,Others,0
15744044,11,Others,1
15576044,9,Others,0
15721116,7,Potential Loyalist,0
15730590,9,Others,0
15791114,9,Others,0
15683027,4,Inactive,0
15802071,10,Others,1
15647890,5,At Risk,0
15633574,10,Others,0
15726354,9,Others,0
15584363,10,Others,0
15781298,9,Others,0
15710687,9,Others,0
15693877,8,Potential Loyalist,0
15629010,6,At Risk,0
15594450,6,At Risk,0
15710295,7,Potential Loyalist,0
15807837,6,At Risk,0
15671591,7,Potential Loyalist,1
15629128,6,Others,0
15760456,4,Inactive,1
15627699,6,At Risk,0
15792064,10,Others,1
15647306,5,At Risk,1
15670103,6,At Risk,0
15794236,3,Inactive,0
15574122,10,Others,0
15707362,10,Others,1
15800811,9,Others,0
15652782,8,Others,0
15669262,7,At Risk,0
15573628,8,Others,1
15763111,7,At Risk,0
15796612,9,Others,0
15715394,7,At Risk,0
15576745,8,Others,0
15573888,11,Others,1
15693683,3,Inactive,0
15600392,5,At Risk,1
15589437,8,Others,0
15807245,8,Potential Loyalist,0
15601811,8,At Risk,1
15707602,6,Others,1
15582180,5,At Risk,0
15641285,9,Others,0
15587562,10,Others,0
15748718,9,Others,0
15661034,10,Others,1
15778696,9,Others,0
15649418,3,Inactive,0
15771977,9,Others,0
15778005,9,Others,1
15771702,7,Potential Loyalist,0
15714689,9,Others,0
15741092,6,At Risk,0
15740868,5,At Risk,0
15655213,5,At Risk,1
15801277,6,Others,0
15600086,5,At Risk,0
15784445,11,Others,0
15732020,6,At Risk,0
15761286,3,Inactive,0
15743617,9,Others,0
15694395,9,Others,0
15774738,8,Potential Loyalist,0
15691011,3,Inactive,0
15732266,10,Others,1
15645569,3,Inactive,0
15697100,9,Others,1
15806922,7,At Risk,0
15677249,5,At Risk,0
15660524,5,At Risk,0
15621818,5,At Risk,0
15619972,8,At Risk,1
15568046,8,Others,0
15687913,7,At Risk,0
15692002,6,At Risk,0
15668385,9,Others,0
15774382,7,At Risk,0
15606435,8,Others,0
15797964,9,Others,0
15730353,4,Inactive,0
15787161,11,Others,0
15590078,5,At Risk,0
15750335,7,Potential Loyalist,1
15688849,6,Potential Loyalist,1
15778155,8,Others,1
15654654,3,Inactive,0
15689633,8,Potential Loyalist,0
15626322,4,Inactive,0
15787756,4,Inactive,1
15624611,3,Inactive,0
15589805,6,At Risk,0
15747808,8,Others,0
15789974,10,Others,1
15594720,3,Inactive,0
15706365,5,At Risk,0
15631070,5,At Risk,1
15785170,11,Others,0
15598838,9,Others,0
15728838,9,Others,1
15779414,8,Others,0
15762799,7,Potential Loyalist,0
15719170,9,Others,0
15670822,5,At Risk,0
15791944,5,Others,1
15589312,11,Others,0
15735687,9,Others,0
15629323,7,Potential Loyalist,1
15710543,9,Others,1
15717898,9,Others,0
15689594,10,Others,0
15776850,9,Others,0
15694506,7,Potential Loyalist,0
15580493,9,Others,0
15669253,6,Others,1
15663883,3,Inactive,0
15737605,7,Potential Loyalist,0
15580366,4,Inactive,0
15700366,8,Others,0
15644896,8,Others,0
15600357,8,Potential Loyalist,0
15574480,11,Others,0
15599152,11,Others,0
15612465,3,Inactive,0
15708212,8,Others,1
15712319,5,At Risk,0
15683416,3,Inactive,1
15764922,8,Potential Loyalist,0
15809286,8,Others,1
15605036,5,At Risk,0
15686060,6,At Risk,1
15568032,7,Potential Loyalist,0
15813862,3,Inactive,0
15570990,11,Others,0
15729489,7,At Risk,1
15605275,9,Others,1
15784676,7,Potential Loyalist,0
15807432,8,Others,0
15702416,9,Others,0
15673908,6,At Risk,0
15586674,8,At Risk,1
15566253,8,At Risk,1
15576706,7,At Risk,0
15698664,8,Potential Loyalist,0
15650437,3,Inactive,0
15815040,7,At Risk,1
15773751,9,Others,0
15667458,6,At Risk,0
15747591,10,Others,0
15627995,8,At Risk,1
15664311,8,Others,0
15724145,8,Others,0
15768340,8,Others,0
15589018,5,Others,0
15593976,6,Potential Loyalist,1
15732437,7,Potential Loyalist,1
15643967,8,At Risk,1
15677382,9,Others,0
15607395,4,Inactive,0
15594404,5,Others,0
15649487,8,Potential Loyalist,1
15661591,7,Potential Loyalist,0
15639576,7,At Risk,0
15762134,3,Inactive,0
15728669,8,Others,1
15749679,9,Others,0
15751561,8,Others,1
15786153,4,Inactive,0
15785373,9,Others,1
15782591,9,Others,0
15710105,8,Others,1
15702298,9,Others,1
15813974,11,Others,1
15696989,5,Others,1
15810878,7,At Risk,0
15634564,5,At Risk,0
15693326,8,Others,0
15711352,5,Others,0
15715160,6,Others,0
15804721,11,Others,0
15607098,7,Potential Loyalist,0
15756241,8,Others,0
15701962,8,Potential Loyalist,0
15764448,9,Others,0
15736534,10,Others,0
15812040,10,Others,0
15719508,3,Inactive,1
15808334,7,Potential Loyalist,0
15795690,8,Others,0
15644453,11,Others,1
15582276,8,At Risk,0
15791131,9,Others,0
15650889,4,Inactive,0
15633612,7,At Risk,0
15755262,11,Others,1
15674950,8,Potential Loyalist,0
15776128,10,Others,0
15724200,10,Others,0
15780038,9,Others,1
15673074,5,At Risk,0
15689517,8,Potential Loyalist,0
15699532,5,At Risk,0
15769254,7,At Risk,0
15799924,11,Others,0
15647975,10,Others,0
15764314,8,Potential Loyalist,0
15579433,8,Others,0
15748231,8,Potential Loyalist,0
15577905,5,At Risk,0
15730759,7,At Risk,1
15741554,8,Others,0
